"text_id","num_human_raters","avg_human_rating","mad_human_rating","avg_ai_rating","human_rate_first","ai_rate_first","human_ai_diff"
1,2,1,0,1,1,1,0
2,2,1,1,0,0,0,1
3,4,1.75,0.375,0.5,2,-1,1.25
4,5,0.6,0.64,0.6,1,1,0
5,9,1.68888888888889,0.414814814814815,1.38888888888889,1,2,0.3
6,3,1,0.666666666666667,0.666666666666667,0,1,0.333333333333333
7,6,0.333333333333333,0.444444444444444,1,0,0,-0.666666666666667
8,2,-1,0,-0.5,-1,-1,-0.5
9,6,-0.216666666666667,0.855555555555556,-0.416666666666667,-2,-1,0.2
10,4,0.75,0.75,0.5,0,0,0.25
11,4,0.25,1.25,1.3,2,1,-1.05
12,6,0.666666666666667,1.11111111111111,1.5,1,2,-0.833333333333333
13,8,1.2875,0.534375,1.55,2,2,-0.2625
14,5,0.8,0.64,1.2,0,1,-0.4
15,6,1.5,0.666666666666667,1.425,2,1,0.075
16,5,1.2,0.64,1.8,1,2,-0.6
17,4,1.475,0.7375,1.325,1.9,1.3,0.15
18,4,-0.5,0.5,-0.5,-1,-1,0
19,7,-0.714285714285714,0.897959183673469,0.428571428571429,0,1,-1.14285714285714
20,2,-0.85,0.15,-0.5,-0.7,0,-0.35
21,3,-1.33333333333333,0.444444444444444,-1,-1,-1,-0.333333333333333
22,5,1.74,0.296,1.336,1.9,0.68,0.404
23,3,-0.333333333333333,0.888888888888889,-0.333333333333333,-1,0,0
24,2,0.2,1.8,1.7,-1.6,1.4,-1.5
25,6,1.5,0.5,1,2,1,0.5
26,4,1.125,0.625,1.17,1.8,1.38,-0.0449999999999999
27,3,0.666666666666667,0.444444444444444,1.66666666666667,0,2,-1
28,7,1.84285714285714,0.240816326530612,1.62857142857143,1.9,1.4,0.214285714285714
29,3,-0.666666666666667,0.444444444444444,0,-1,0,-0.666666666666667
30,7,-0.142857142857143,0.489795918367347,-0.428571428571429,0,0,0.285714285714286
31,2,0,0,0.5,0,0,-0.5
32,8,-1.25,0.375,-0.875,-2,-2,-0.375
33,3,1,0,1,1,1,0
34,2,1,0,1,1,1,0
35,7,-0.428571428571429,0.653061224489796,0,0,0,-0.428571428571429
36,6,-0.833333333333333,0.555555555555556,-0.833333333333333,-1,0,0
37,4,0.5,0.5,1,0,1,-0.5
38,4,1.45,0.45,1.1,1.8,1.4,0.35
39,8,0.625,0.46875,1,0,1,-0.375
40,8,-1.625,0.46875,-1.375,-1,-2,-0.25
41,4,-0.75,0.875,0,-1,-1,-0.75
42,6,1.75,0.333333333333333,1.93333333333333,2,2,-0.183333333333333
43,3,1,0.666666666666667,1.33333333333333,0,1,-0.333333333333333
44,8,0.25,0.5625,0.125,0,0,0.125
45,4,0.75,1.375,1.75,2,2,-1
46,1,0,0,1,0,1,-1
47,6,0.166666666666667,0.888888888888889,0.5,1,0,-0.333333333333333
48,6,0.216666666666667,0.288888888888889,0.216666666666667,0,0,0
49,1,1,0,0,1,0,1
50,4,1.75,0.375,1.5,2,1,0.25
51,2,-1.5,0.5,-1.5,-1,-1,0
52,5,0.9,0.52,0.96,1,1,-0.0599999999999999
53,5,1,0,1.94,1,2,-0.94
54,9,1.22222222222222,0.691358024691358,1.77777777777778,1,2,-0.555555555555555
55,7,0,0.857142857142857,-0.285714285714286,1,0,0.285714285714286
56,3,1.66666666666667,0.444444444444444,2,2,2,-0.333333333333333
58,5,1.64,0.432,1.88,2,2,-0.24
59,3,-1.33333333333333,0.444444444444444,-1.66666666666667,-2,-2,0.333333333333333
60,6,-1.33333333333333,0.666666666666667,-0.5,-2,-1,-0.833333333333333
61,2,1.5,0.5,2,2,2,-0.5
62,3,0.166666666666667,0.222222222222222,1.26666666666667,0,1,-1.1
63,3,0,0.666666666666667,1.66666666666667,0,1,-1.66666666666667
64,7,-1.28571428571429,0.612244897959184,-1.42857142857143,0,-2,0.142857142857143
65,6,0.75,0.833333333333333,1.48333333333333,-1,0,-0.733333333333333
66,4,-0.5,0.75,0.5,-1,0,-1
67,4,-0.45,0.95,-1.0625,0,0,0.6125
